video_id,video_path,frame_path,timestamp_s,stage_id,stage_name,source_fps,target_fps
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000000_0000.000s.jpg,0.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000001_0000.333s.jpg,0.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000002_0000.667s.jpg,0.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000003_0001.000s.jpg,1.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000004_0001.333s.jpg,1.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000005_0001.667s.jpg,1.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000006_0002.000s.jpg,2.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000007_0002.333s.jpg,2.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000008_0002.667s.jpg,2.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000009_0003.000s.jpg,3.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000010_0003.333s.jpg,3.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000011_0003.667s.jpg,3.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000012_0004.000s.jpg,4.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000013_0004.333s.jpg,4.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000014_0004.667s.jpg,4.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000015_0005.000s.jpg,5.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000016_0005.333s.jpg,5.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000017_0005.667s.jpg,5.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000018_0006.000s.jpg,6.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000019_0006.333s.jpg,6.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000020_0006.667s.jpg,6.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000021_0007.000s.jpg,7.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000022_0007.333s.jpg,7.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000023_0007.667s.jpg,7.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000024_0008.000s.jpg,8.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000025_0008.333s.jpg,8.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000026_0008.667s.jpg,8.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000027_0009.000s.jpg,9.0,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000028_0009.333s.jpg,9.333333,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000029_0009.667s.jpg,9.666667,0,inactive_preparation,29.97003,3.0
MVI_6268,data/raw/MVI_6268.MOV,data/processed/frames_3/MVI_6268/MVI_6268_000030_0010.000s.jpg,10.0,0,inactive_preparation,29.97003,3.0
